exercise,primary_muscle,exercise_link,image_link
Neck Extension Stretch,Neck,https://fitnessprogramer.com/exercise/neck-extension-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/07/Neck-Extension-Stretching-360x360.png
Walk Wave Machine,Cardio,https://fitnessprogramer.com/exercise/walk-wave-machine/,https://fitnessprogramer.com/wp-content/uploads/2021/10/Walk-Wave-Machine.gif
Standing Calf Raise,Calf,https://fitnessprogramer.com/exercise/standing-calf-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Standing-Calf-Raise.gif
Dumbbell Seated Neutral Wrist Curl,Forearm,https://fitnessprogramer.com/exercise/dumbbell-seated-neutral-wrist-curl/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Seated-Neutral-Wrist-Curl.gif
Dumbbell Wrist Curl,Forearm,https://fitnessprogramer.com/exercise/dumbbell-wrist-curl/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Wrist-Curl.gif
Barbell Reverse Wrist Curl,Forearm,https://fitnessprogramer.com/exercise/barbell-reverse-wrist-curl/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Barbell-Reverse-Wrist-Curl.gif
Side Neck Stretch,Neck,https://fitnessprogramer.com/exercise/side-neck-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Side-Neck-Stretch.gif
Side Push Neck Stretch,Neck,https://fitnessprogramer.com/exercise/side-push-neck-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Side-Push-Neck-Stretch.gif
Front and Back Neck Stretch,Neck,https://fitnessprogramer.com/exercise/front-and-back-neck-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Front-and-Back-Neck-Stretch.gif
Chin Tuck,Neck,https://fitnessprogramer.com/exercise/chin-tuck/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Chin-Tuck.gif
Jump Rope,Cardio,https://fitnessprogramer.com/exercise/jump-rope/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Jump-Rope.gif
Bike,Cardio,https://fitnessprogramer.com/exercise/bike/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Bike.gif
Treadmill,Cardio,https://fitnessprogramer.com/exercise/treadmill/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Treadmill-.gif
Incline Treadmill,Cardio,https://fitnessprogramer.com/exercise/incline-treadmill/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Incline-Treadmill.gif
Rowing Machine,Back / Wing,https://fitnessprogramer.com/exercise/rowing-machine/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Rowing-Machine.gif
Rowing Machine,Cardio,https://fitnessprogramer.com/exercise/rowing-machine/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Rowing-Machine.gif
Rowing Machine,Full Body,https://fitnessprogramer.com/exercise/rowing-machine/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Rowing-Machine.gif
Manual Treadmill,Cardio,https://fitnessprogramer.com/exercise/assault-air-runner/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Assault-Air-Runner.gif
Elliptical Machine,Cardio,https://fitnessprogramer.com/exercise/elliptical-machine/,https://fitnessprogramer.com/wp-content/uploads/2021/10/Elliptical-Machine.gif
Stair Climber Machine,Cardio,https://fitnessprogramer.com/exercise/stair-climber-machine/,https://fitnessprogramer.com/wp-content/uploads/2021/10/Walking-on-Stepmill.gif
Prone Cervical Extension,Neck,https://fitnessprogramer.com/exercise/prone-cervical-extension/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Prone-Cervical-Extension.gif
Wrist Circles Stretch,Forearm,https://fitnessprogramer.com/exercise/wrist-circles-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Wrist-Circles-Stretch.gif
Kneeling Neck Stretch,Neck,https://fitnessprogramer.com/exercise/kneeling-neck-stretch/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Kneeling-Neck-Stretch.gif
Dumbbell Chest Supported Lateral Raises,Shoulders,https://fitnessprogramer.com/exercise/dumbbell-chest-supported-lateral-raises/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-Chest-Supported-Lateral-Raises.gif
Dumbbell 6 Way Raise,Shoulders,https://fitnessprogramer.com/exercise/dumbbell-6-ways-raise/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-6-Ways-Raise.gif
Dumbbell 4 Way Lateral Raise,Shoulders,https://fitnessprogramer.com/exercise/dumbbell-4-ways-lateral-raise/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-4-Ways-Lateral-Raise.gif
Smith Machine Reverse Kickback,Hip,https://fitnessprogramer.com/exercise/smith-machine-reverse-kickback/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Smith-Machine-Reverse-Kickback.gif
